Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1753771499,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1753771500,10,,Aggregated,0.000000,0.000000,360,410,480,490,730,730,730,730,730,730,730,10,0,360.0,409.12146999980905,273.44149999771616,729.4635000034759,772.4
1753771501,10,,Aggregated,0.000000,0.000000,360,410,480,490,730,730,730,730,730,730,730,10,0,360.0,409.12146999980905,273.44149999771616,729.4635000034759,772.4
1753771502,10,,Aggregated,0.000000,0.000000,330,360,410,410,490,730,730,730,730,730,730,16,0,320.0,285.9721125003034,64.6350999995775,729.4635000034759,890.75
1753771503,10,,Aggregated,10.000000,0.000000,320,360,410,420,490,730,730,730,730,730,730,20,0,270.0,269.3530850003299,64.60520000109682,729.4635000034759,825.0
1753771504,10,,Aggregated,5.333333,0.000000,270,350,360,420,480,490,730,730,730,730,730,25,0,270.0,255.7679280002776,61.13700000059907,729.4635000034759,793.44
1753771505,15,,Aggregated,5.000000,0.000000,220,320,360,410,440,490,730,730,730,730,730,35,0,220.0,232.3806514287883,61.13700000059907,729.4635000034759,847.5428571428571
1753771506,15,,Aggregated,4.800000,0.000000,170,270,330,360,420,480,730,730,730,730,730,41,0,170.0,210.56193170753852,61.13700000059907,729.4635000034759,882.7317073170732
1753771507,15,,Aggregated,5.666667,0.000000,110,250,320,350,420,480,730,730,730,730,730,48,0,110.0,200.26458333366767,61.13700000059907,729.4635000034759,868.8333333333334
1753771508,15,,Aggregated,5.666667,0.000000,94,220,270,330,410,480,490,730,730,730,730,55,0,94,187.78475636394103,61.13700000059907,729.4635000034759,877.6
1753771509,15,,Aggregated,5.714286,0.000000,92,220,270,320,410,480,490,730,730,730,730,60,0,90,180.8350433337182,56.943600000522565,729.4635000034759,877.6
1753771510,15,,Aggregated,5.875000,0.000000,89,220,260,270,410,450,490,730,730,730,730,71,0,89,179.7106211269635,56.943600000522565,729.4635000034759,850.9295774647887
1753771511,15,,Aggregated,6.111111,0.000000,87,220,260,270,410,450,490,730,730,730,730,75,0,87,174.1493666669218,56.943600000522565,729.4635000034759,863.5733333333334
1753771512,15,,Aggregated,6.100000,0.000000,87,210,260,270,410,450,550,730,730,730,730,84,0,85,171.52083095251805,56.943600000522565,729.4635000034759,875.0952380952381
1753771513,15,,Aggregated,6.500000,0.000000,85,170,250,270,410,450,550,730,730,730,730,92,0,84,166.58051847840082,56.30890000247746,729.4635000034759,870.7391304347826
1753771514,15,,Aggregated,6.500000,0.000000,83,110,250,260,360,450,490,550,730,730,730,101,0,83,160.48827722776275,56.30890000247746,729.4635000034759,879.6831683168317
